"Timestamp","¿Conoce qué es un huerto vertical?","¿Le gustaría tener un huerto vertical?","Si tuviera la oportunidad de tener un huerto vertical en su hogar, ¿quisiera información sobre cómo crearlo y mantenerlo?","¿Cuál de estas verduras o frutas se pueden sembrar en un huerto vertical?","¿Crees que las verduras y frutas sembradas en tu hogar son más saludables de las que encuentras en el supermercado?","¿Dónde le gustaría realizar su huerto vertical?","Para usted, ¿cuál es el criterio de decisión más importante en el momento de elegir tener un huerto vertical o comprar los productos en el supermercado?","Si le gustaría tener un huerto vertical, ¿le gustaría obtener un curso educativo?","¿Cuántas veces a la semana le gustaría reunirse con un representante para conocer más de los productos o cualquier otra pregunta?"
"2021/04/23 2:43:59 PM AST","Sí","No","No estoy interesado","","No","Otro","Toma mucho tiempo y dedicación","No necesito un curso","No me interesa"
"2021/04/23 2:47:06 PM AST","Sí","Sí","No estoy interesado","Lechuga;Tomate cherry;Cebollines","Sí","Patio","Toma mucho tiempo y dedicación","No necesito un curso","No me interesa"
"2021/04/23 2:49:03 PM AST","No","Sí","Estoy interesado","Tomate cherry;Fresas;Guindillas;Zanahorias","Sí","Balcon","Toma mucho tiempo y dedicación","Sí, me gustaría","1 vez en semana"
"2021/04/23 2:50:56 PM AST","No","Sí","Estoy interesado","Lechuga;Fresas;Cebollines","Sí","Patio","Cubre mucho espacio","Sí, me gustaría","Cada mes"
"2021/04/23 2:51:02 PM AST","Sí","No","No estoy interesado","Lechuga;Tomate cherry;Cebollines;Espinacas;Guindillas;Zanahorias;Rabanitos","Sí","Patio","Toma mucho tiempo y dedicación","No necesito un curso","No me interesa"
"2021/04/23 2:54:47 PM AST","Sí","Sí","Estoy interesado","Lechuga;Tomate cherry;Espinacas","Sí","Otro","Cubre mucho espacio","Sí, me gustaría","1 vez en semana"
"2021/04/23 2:55:41 PM AST","Sí","No","No estoy interesado","Lechuga;Cebollines;Espinacas;Rabanitos","Sí","Balcon","Toma mucho tiempo y dedicación","No necesito un curso","No me interesa"
"2021/04/23 3:00:10 PM AST","Sí","Sí","Estoy interesado","Lechuga;Tomate cherry;Fresas","Sí","Terraza","Toma mucho tiempo y dedicación","Sí, me gustaría","Cada mes"
"2021/04/23 3:04:32 PM AST","No","No","Estoy interesado","Lechuga;Tomate cherry;Cebollines;Espinacas;Guindillas;Rabanitos","Sí","Patio","Toma mucho tiempo y dedicación","Sí, me gustaría","1 vez en semana"
"2021/04/23 3:05:37 PM AST","Sí","Sí","No estoy interesado","Lechuga;Tomate cherry;Cebollines","Sí","Patio","Toma mucho tiempo y dedicación","No necesito un curso","No me interesa"
"2021/04/23 3:07:12 PM AST","Sí","Sí","Estoy interesado","Lechuga;Fresas;Zanahorias","Sí","Terraza","Toma mucho tiempo y dedicación","Sí, me gustaría","1 vez en semana"
"2021/04/23 3:08:56 PM AST","Sí","Sí","Estoy interesado","Lechuga","Sí","Balcon","Toma mucho tiempo y dedicación","Sí, me gustaría","1 vez en semana"
"2021/04/23 3:13:11 PM AST","Sí","No","No estoy interesado","Lechuga;Cebollines;Espinacas;Rabanitos","Sí","Balcon","Toma mucho tiempo y dedicación","No necesito un curso","No me interesa"
"2021/04/23 3:15:06 PM AST","Sí","Sí","Estoy interesado","Tomate cherry;Fresas;Cebollines;Espinacas;Zanahorias","Sí","Terraza","Toma mucho tiempo y dedicación","Sí, me gustaría","Cada mes"
"2021/04/23 3:15:46 PM AST","Sí","Sí","Estoy interesado","Lechuga;Tomate cherry;Cebollines","Sí","Patio","Cubre mucho espacio","Sí, me gustaría","1 vez en semana"
"2021/04/23 3:17:26 PM AST","Sí","Sí","Estoy interesado","Lechuga;Tomate cherry;Fresas;Cebollines;Espinacas;Guindillas;Zanahorias;Rabanitos","Sí","Patio","Toma mucho tiempo y dedicación","No necesito un curso","No me interesa"
"2021/04/23 3:23:00 PM AST","Sí","Sí","Estoy interesado","Tomate cherry;Rabanitos","Sí","Patio","Toma mucho tiempo y dedicación","Sí, me gustaría","Cada mes"
"2021/04/23 3:34:13 PM AST","Sí","Sí","Estoy interesado","Lechuga;Tomate cherry;Fresas;Zanahorias","Sí","Patio","Precio","Sí, me gustaría","Cada mes"
"2021/04/23 3:47:30 PM AST","Sí","Sí","Estoy interesado","Tomate cherry;Espinacas;Guindillas;Rabanitos","Sí","Terraza","Toma mucho tiempo y dedicación","Sí, me gustaría","1 vez en semana"
"2021/04/23 4:02:20 PM AST","No","Sí","Estoy interesado","Lechuga;Tomate cherry;Fresas;Cebollines;Espinacas;Zanahorias","Sí","Terraza","Precio","Sí, me gustaría","1 vez en semana"
"2021/04/23 4:32:41 PM AST","Sí","Sí","Estoy interesado","Lechuga;Tomate cherry;Fresas;Cebollines;Espinacas;Rabanitos","No","Patio","Precio","No necesito un curso","No me interesa"
"2021/04/23 4:46:52 PM AST","No","No","No estoy interesado","Fresas;Espinacas;Zanahorias","Sí","Balcon","Cubre mucho espacio","Sí, me gustaría","No me interesa"
